;;;RELAT‡RIO DE PEDIDO DE COMPRA;;;;JANEIRO/2019;;;;;;;
;;;;;;;;;;;;;;
NßOC;Linha;Data;Descriá∆o;Qtde;Vlr.Unit.;Vlr.Total;Fornecedor;;;;;;;
37500;1;31/01/19;RECARGA DE EXTINTOR DE INC“NDIO PQS - P‡ QU÷MICO SECO, COM CAPACIDADE PARA 4 KG BC;2;21,50;43,00;GLAUGUS EQUIP. E SIST. NO COMBATE A INCENDIO LTDA;;;;;;;
37500;2;31/01/19;Recarga de extintor de incàndio PQS - P¢ Qu°mico Seco, com capacidade para 8 kg ABC;1;88,00;88,00;GLAUGUS EQUIP. E SIST. NO COMBATE A INCENDIO LTDA;;;;;;;
37500;3;31/01/19;Recarga de extintor de incàndio CO2 - G†s carbìnico, com capacidade para 6 kg;1;39,50;39,50;GLAUGUS EQUIP. E SIST. NO COMBATE A INCENDIO LTDA;;;;;;;
37499;1;31/01/19;Recarga de extintor de incàndio PQS - P¢ Qu°mico Seco, com capacidade para 4 kg;2;21,50;43,00;GLAUGUS EQUIP. E SIST. NO COMBATE A INCENDIO LTDA;;;;;;;
37499;2;31/01/19;Recarga de extintor de incàndio CO2 - G†s carbìnico, com capacidade para 6 kg;20;39,50;790,00;GLAUGUS EQUIP. E SIST. NO COMBATE A INCENDIO LTDA;;;;;;;
37493;1;30/01/19;Bobina tÇrmica para rel¢gio de ponto 57x300m, na cor amarela lisa.   Local de entrega/instalaá∆o: Almoxarifado da Prodesp, Ö Rua Agueda Gonáalves n¯ 240 ® Jardim Pedro Gonáalves ® Tabo∆o da Serra ® SP.    ;150;16,00;2.400,00;DIRECT PAPER COMêRCIO DE PAPêIS LTDA;;;;;;;
37489;1;29/01/19;Remoá∆o de †rvores e plantio do Posto Poupatempo SÇ, composto por: Corte, recorte e remoá∆o de 5 †rvores de diversas espÇcies. Fornecimento e plantio de 5 mudas nativas padr∆o DEPAVE;7729,63;1,00;7.729,63;SHALLON SERVIÄOS E JARDINAGEM LTDA - ME;;;;;;;
37488;1;29/01/19;Conserto do display sin¢ptico do chiller Carrier 30GBP200386S;2;220,00;440,00;SANTêCNICA ASSIST“NCIA TêCNICA EM AR COND. LTDA - EPP;;;;;;;
37488;2;29/01/19;Conserto da Placa Basic board do chiller Carrier 30GBP200386S;1;1.080,00;1.080,00;SANTêCNICA ASSIST“NCIA TêCNICA EM AR COND. LTDA - EPP;;;;;;;
37488;3;29/01/19;Conserto da placa do compressor;3;542,00;1.626,00;SANTêCNICA ASSIST“NCIA TêCNICA EM AR COND. LTDA - EPP;;;;;;;
37484;1;28/01/19;Revis∆o peri¢dica compreendendo fornecimento de peáas, reparo/calibraá∆o/laudo do desfibrilador externo autom†tico DEA - marca CMOS Drake, modelo Life 400 Futura - sÇrie;1280;1,00;1.280,00;PRONTODEA ELETROMEDICINA LTDA;;;;;;;
37482;1;28/01/19;Prestaá∆o de serviáos de adequaá∆o do sistema de ar condicionado do Posto Poupatempo S∆o Carlos, composto por Termo de Referància constante do edital e:;47000;1,00;47.000,00;ECONTHERM CLIMATIZAÄ«O LTDA -ME;;;;;;;
37481;1;28/01/19;"REL‡GIO PROTOCOLADOR ELETR‚NICO; MODELO COTADO: HENRY PROT II; GARANTIA: 06 MESES";1;990,00;990,00;RM MµQUINAS E SISTEMAS LTDA - EPP;;;;;;;
37480;1;28/01/19;Bateria Lithium 3V.;1;420,00;420,00;PRONTODEA ELETROMEDICINA LTDA;;;;;;;
37480;2;28/01/19;Manutená∆o do desfibrilador;1;400,00;400,00;PRONTODEA ELETROMEDICINA LTDA;;;;;;;
37479;1;24/01/19;Caláa em brim pesado, cintura meio el†stico, com bolso cargo, reforáo no cavalo, cor cinza escuro, nß 44;2;54,33;108,66;E ATIK EPP;;;;;;;
37479;2;24/01/19;Jaleco profissional em brim 100% algod∆o, gola italiana, MANGA CURTA, com bolso, na cor cinza escuro, nß 46;2;41,43;82,86;E ATIK EPP;;;;;;;
37479;3;24/01/19;Jaleco profissional em brim 100% algod∆o, gola italiana, MANGA LONGA, com bolso, na cor cinza escuro, nß 46;2;46,70;93,40;E ATIK EPP;;;;;;;
37478;1;24/01/19;Retirada total de 182m3 de restos de madeiras inserv°veis, irrecuper†veis devidamente laudados, atravÇs de empresa especializada na prestaá∆o de serviáos de coleta com a m∆o de obra pr¢pria, transporte,;8000;1,00;8.000,00;FERMAD AMBIENTAL LTDA - ME;;;;;;;
37477;1;24/01/19;"Bobina pin pad; papel termossens°vel para impressoras de terminais de caixa - TCX (Tecpoint THP-100 e Diebold/Procomp), conforme especificaá∆o anexa ao Pedido.";4320;3,20;13.824,00;DIRECT PAPER COMêRCIO DE PAPêIS LTDA;;;;;;;
37476;1;24/01/19;TRANSPORTE DE 05 (CINCO) EQUIPAMENTOS PESADOS (COFRES / FREEZER VERTICAL) COM SEGURO, CONFORME ENDEREÄOS ANTERIORMENTE INFORMADOS E CONDIÄÂES ESTABELECIDAS NO PEDIDO DE COTAÄ«O.;5586;1,00;5.586,00;GIBELLI TRANSPORTES LTDA;;;;;;;
37475;1;23/01/19;Fita isolante 3M  SCOTCH 33+ 20MT.;15;18,99;284,85;DAVOP COMERCIAL EIRELI - EPP;;;;;;;
37475;2;23/01/19;Fita adesiva antiderrapante preta 50mmx5mts.;20;14,99;299,80;DAVOP COMERCIAL EIRELI - EPP;;;;;;;
37475;3;23/01/19;Fita demarcaá∆o de solo 100x30 azul.;10;30,20;302,00;DAVOP COMERCIAL EIRELI - EPP;;;;;;;
37475;4;23/01/19;Fita demarcaá∆o de solo 100x30 branca.;10;30,20;302,00;DAVOP COMERCIAL EIRELI - EPP;;;;;;;
37475;5;23/01/19;Fita demarcaá∆o de solo 100x30 laranja.;10;39,99;399,90;DAVOP COMERCIAL EIRELI - EPP;;;;;;;
37475;6;23/01/19;Fita demarcaá∆o de solo 100x30 lil†s;10;42,70;427,00;DAVOP COMERCIAL EIRELI - EPP;;;;;;;
37473;1;23/01/19;CONSERTO VD LEITOR BIOMêTRICO USB FOH-02 S/N 30305 SUBSTITUIÄ«O CABO USB;1;80,00;80,00;ACURA TECHNOLOGIES LTDA;;;;;;;
37472;1;23/01/19;Filtro modelo PD-L medindo 500 x 450 x 25mm, classe G2;10;6,50;65,00;FILTRAX DO BRASIL LTDA;;;;;;;
37472;2;23/01/19;Filtro modelo PD-L medindo 510 x 525 x 25mm, classe G2  ;280;7,80;2.184,00;FILTRAX DO BRASIL LTDA;;;;;;;
